Drug name,Challenge drug name,Putative target,Function,Pathway,HBA,HBD,Molecular weight,cLogP,Lipinski,SMILES
SN38,SN38,TOP1;TOP2*,DNA repair,Chemo,7,2,392.4,1.97,0,CCc1c2cc(ccc2nc-3c1Cn4c3cc5c(c4=O)COC(=O)[C@@]5(CC)O)O
AZD0530,SRC,SRC,Oncogenic signal,RTK,10,1,542,4.11,1,CN1CCN(CC1)CCOc2cc3c(c(c2)OC4CCOCC4)c(ncn3)Nc5c(ccc6c5OCO6)Cl
AZ13233395,SYK,SYK,Oncogenic signal,Cell Cycle,11,3,470.5,4.12,1,CC1(C(=O)Nc2c(ccc(n2)Nc3c(cnc(n3)Nc4cc(c(c(c4)OC)OC)OC)F)O1)C
"AZD6474,Vandetinib,Zactima,Caprelsa",TKI,KDR;EGFR;RET,Oncogenic signal,RTK,6,1,475.4,5.84,1,CN1CCC(CC1)COc2cc3c(cc2OC)c(ncn3)Nc4ccc(cc4F)Br
"Regorafenib,Stivarga",TKI_2,VEGFR2;TIE2,Differentiation,EMT/migration,NA,NA,NA,NA,NA,NA
TNF-Alpha,TNF,TNFA,Cell death,Apoptosis,NA,NA,NA,NA,NA,NA
TRAIL,TNFSF10,TNFSF10,Cell death,Apoptosis,NA,NA,NA,NA,NA,NA
AZ13590108,TNKS_PARP6,TNKS;PARP6,Oncogenic signal,Cell Cycle,NA,NA,NA,NA,NA,NA
AZ12623380,TOP2,TOP2*;PRKDC,DNA repair,DNA Damage Response,4,0,413.5,5.44,1,c1ccc2c(c1)c3cccc(c3s2)c4cccc5c4oc(cc5=O)N6CCOCC6
Etoposide,TOP2_2,TOP2*,DNA repair,Chemo,13,3,588.6,0.03,2,CC1OCC2C(O1)C(C(C(O2)OC3c4cc5c(cc4C(C6C3COC6=O)c7cc(c(c(c7)OC)O)OC)OCO5)O)O
Topotecan,Topotecan,TOP1;TOP1MT;DNA,DNA repair,Chemo,8,2,421.5,0.73,0,CC[C@@]1(c2cc-3n(c(=O)c2COC1=O)Cc4c3nc5ccc(c(c5c4)CN(C)C)O)O
AZ12783146,TTK,TTK,Oncogenic signal,STK,9,1,452.6,3.62,0,Cn1c2cnc(nc2n(c1=O)C3CCCC3)Nc4ccc(cc4OC)OC5CCN(CC5)C
"5FU,Fluorouracil",TYMS,TYMS,DNA repair,Cell Cycle,NA,NA,NA,NA,NA,NA
"AZD2171,Recentin,Cediranib",VEGF,KDR;FLT1;FLT4,Differentiation,EMT/migration,NA,NA,NA,NA,NA,NA
Vinorelbine,Vinorelbine,microtubule;TUBB,DNA repair,Chemo,12,2,778.9,5.94,3,CCC1=C[C@H]2C[C@@](c3c(c4ccccc4[nH]3)CN(C2)C1)(c5cc6c(cc5OC)N([C@@H]7[C@]68CCN9[C@H]8[C@@](C=CC9)([C@H]([C@]7(C(=O)OC)O)OC(=O)C)CC)C)C(=O)OC
AZD1775,WEE1,WEE1,DNA repair,DNA Damage Response,NA,NA,NA,NA,NA,NA
AZ13401366,WNT,WNT*;TNKS,Differentiation,EMT/migration,NA,NA,NA,NA,NA,NA
