drug1,drug2,cell,score,nor,index,true_label,predict_label,predict_score,smile1,smile2
5-FU,BEZ-235,NCIH460,20.10041374,0.6854691,46,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,NCIH520,16.72179723,0.6787866,47,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,OV90,17.54707857,0.6804189,48,1,0,0.230971828,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,RKO,16.93600135,0.6792103,49,1,1,0.99738282,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,RPMI7951,12.70594985,0.6708437,50,1,1,0.709888399,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,SKMEL30,-73.13840165,0.5010524,51,0,1,0.999777257,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,SKMES1,21.2679035,0.6877783,52,1,1,0.999884248,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,SW620,12.02859024,0.6695039,53,1,1,0.999834895,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,T47D,106.0071924,0.8553839,54,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,VCAP,11.75742482,0.6689676,55,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BORTEZOMIB,A2058,-5.239878448,0.6353487,56,0,0,3.26E-10,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,A2780,-18.59912622,0.6089255,57,0,0,2.77E-35,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,A375,-2.405334783,0.6409551,58,0,0,3.21E-05,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,A427,-7.87670815,0.6301333,59,0,0,4.60E-15,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,CAOV3,-35.27304184,0.5759462,60,0,0,8.43E-22,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,ES2,-16.13012533,0.6138089,61,0,0,4.51E-05,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,HCT116,-4.51926945,0.636774,62,0,0,3.04E-08,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,HT144,-14.56978258,0.6168951,63,0,0,6.61E-11,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,HT29,-15.95161347,0.614162,64,0,0,1.97E-21,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,KPL1,-2.997532726,0.6397838,65,0,0,3.52E-15,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,LNCAP,-1.855232481,0.6420431,66,0,0,1.57E-07,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,LOVO,-6.175982009,0.6334972,67,0,0,7.69E-13,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,MDAMB436,-2.025565761,0.6417062,68,0,0,2.48E-11,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,MSTO,52.48518972,0.7495229,69,1,0,0.000347737,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,NCIH1650,-15.77870569,0.614504,70,0,0,1.70E-16,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,NCIH2122,-16.69626568,0.6126891,71,0,0,0.000511309,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,NCIH23,-9.190964586,0.6275338,72,0,0,1.64E-32,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,NCIH460,-18.99813026,0.6081363,73,0,0,0.00028076,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,NCIH520,-24.06755091,0.5981095,74,0,0,3.57E-22,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,OV90,-9.586166869,0.6267522,75,0,0,2.52E-16,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,RPMI7951,-10.47941439,0.6249854,76,0,0,1.43E-23,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,SKMEL30,-172.8887021,0.3037566,77,0,0,8.91E-12,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,SKMES1,-11.64272985,0.6226845,78,0,0,6.82E-13,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,SKOV3,-4.604893623,0.6366046,79,0,0,1.01E-13,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,SW620,-1.907966818,0.6419388,80,0,0,9.10E-09,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,SW837,-1.3618595,0.643019,81,0,0,4.74E-09,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,UACC62,-17.84185108,0.6104233,82,0,0,6.89E-15,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,VCAP,-7.053510631,0.6317615,83,0,0,0.000149578,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,BORTEZOMIB,ZR751,-17.45137527,0.6111956,84,0,0,5.13E-17,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
5-FU,DASATINIB,A2058,31.12564418,0.7072759,85,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,A2780,50.60366026,0.7458014,86,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,A427,28.34808451,0.7017822,87,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,CAOV3,17.87983173,0.6810771,88,1,0,0.00476452,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,ES2,17.69019535,0.680702,89,1,1,0.999991894,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,HCT116,-7.819271786,0.6302469,90,0,1,0.999251068,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,HT144,-22.97327812,0.6002738,91,0,0,1.36E-08,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,HT29,17.06698076,0.6794693,92,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,LOVO,21.38558819,0.6880111,93,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,MDAMB436,18.71869688,0.6827362,94,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,MSTO,17.56299065,0.6804504,95,1,1,0.991720796,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,NCIH1650,23.23497071,0.691669,96,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,NCIH2122,-31.1947196,0.5840127,97,0,0,0.000195496,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,NCIH23,11.55914675,0.6685754,98,1,0,0.015688915,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,NCIH460,21.6687261,0.6885711,99,1,1,0.999998331,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,NCIH520,42.73505144,0.7302381,100,1,1,0.999997258,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,RKO,17.31163283,0.6799532,101,1,1,0.996817589,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,RPMI7951,19.06355103,0.6834183,102,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,SKMEL30,-4.618694814,0.6365773,103,0,0,2.99E-05,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,SW620,30.44463084,0.7059289,104,1,1,0.999999881,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,SW837,15.87733689,0.6771163,105,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,T47D,18.86560141,0.6830268,106,1,1,0.999998927,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,UACC62,12.12396034,0.6696925,107,1,1,0.605077863,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DASATINIB,VCAP,21.45572644,0.6881498,108,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5-FU,DINACICLIB,A2780,-8.161128639,0.6295707,109,0,0,4.68E-12,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,DINACICLIB,A375,-5.415934201,0.6350004,110,0,0,1.51E-07,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,DINACICLIB,A427,-7.747473682,0.6303889,111,0,0,3.99E-05,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,DINACICLIB,CAOV3,-14.34742589,0.6173349,112,0,0,1.40E-07,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,DINACICLIB,HT144,-3.477422217,0.6388346,113,0,0,1.90E-19,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,DINACICLIB,HT29,-2.539408744,0.6406899,114,0,0,2.19E-07,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,DINACICLIB,LNCAP,-0.848044466,0.6440353,115,0,0,0.034344826,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
5-FU,DINACICLIB,LOVO,-11.87695993,0.6222212,116,0,0,1.13E-13,O=c1[nH]cc(F)c(=O)[nH]1,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
